# generated_utc	2026-08-14T19:14:46+00:00
# script	probe_v11.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	78
branch	variant	carrier_id	n	retained_541_n	retained_541_rate	raw_completion_541_mean	raw_completion_541_median	raw_completion_increment_mean	raw_completion_increment_median	peak_541_mean	peak_541_median	signed_541_margin_mean	signed_541_margin_median	completion_is_target_peak_n	member_case_ids
CARRIER_CONTROL	CARRIER_ONLY	THEY_SAID	1	0	0.0	-0.038379	-0.038379	0.094814	0.094814	-0.000102	-0.000102	-2.360972	-2.360972	0	["CARRIER_CONTROL__THEY_SAID"]
CARRIER_CONTROL	CARRIER_ONLY	THE_PHRASE	1	0	0.0	-0.055584	-0.055584	0.002844	0.002844	-0.000102	-0.000102	-3.233247	-3.233247	0	["CARRIER_CONTROL__THE_PHRASE"]
FRAME_CROSS	ARBITRARY_DISTINCT	BARE	12	0	0.0	0.207063	-0.066426	0.251971	-0.013074	0.283993	-0.000102	-2.617095	-2.778836	5	["FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__BARE__NONE", "FRAME_CROSS__AFTER_DAY__ARBITRARY_DISTINCT__BARE__NONE", "FRAME_CROSS__AFTER_MILE__ARBITRARY_DISTINCT__BARE__NONE", "FRAME_CROSS__BY_ONE__ARBITRARY_DISTINCT__BARE__NONE", "FRAME_CROSS__BY_ZONE__ARBITRARY_DISTINCT__BARE__NONE", "FRAME_CROSS__BY_STEP__ARBITRARY_DISTINCT__BARE__NONE", "FRAME_CROSS__AND_ROUND__ARBITRARY_DISTINCT__BARE__NONE", "FRAME_CROSS__AND_AGAIN__ARBITRARY_DISTINCT__BARE__NONE", "FRAME_CROSS__AND_TIME__ARBITRARY_DISTINCT__BARE__NONE", "FRAME_CROSS__TO_HAND__ARBITRARY_DISTINCT__BARE__NONE", "FRAME_CROSS__TO_FACE__ARBITRARY_DISTINCT__BARE__NONE", "FRAME_CROSS__TO_SHOULDER__ARBITRARY_DISTINCT__BARE__NONE"]
FRAME_CROSS	ARBITRARY_DISTINCT	THEY_SAID	12	0	0.0	0.151408	-0.051905	0.165463	-0.036811	0.225886	-0.000102	-2.370646	-2.486129	5	["FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__THEY_SAID__NONE", "FRAME_CROSS__AFTER_DAY__ARBITRARY_DISTINCT__THEY_SAID__NONE", "FRAME_CROSS__AFTER_MILE__ARBITRARY_DISTINCT__THEY_SAID__NONE", "FRAME_CROSS__BY_ONE__ARBITRARY_DISTINCT__THEY_SAID__NONE", "FRAME_CROSS__BY_ZONE__ARBITRARY_DISTINCT__THEY_SAID__NONE", "FRAME_CROSS__BY_STEP__ARBITRARY_DISTINCT__THEY_SAID__NONE", "FRAME_CROSS__AND_ROUND__ARBITRARY_DISTINCT__THEY_SAID__NONE", "FRAME_CROSS__AND_AGAIN__ARBITRARY_DISTINCT__THEY_SAID__NONE", "FRAME_CROSS__AND_TIME__ARBITRARY_DISTINCT__THEY_SAID__NONE", "FRAME_CROSS__TO_HAND__ARBITRARY_DISTINCT__THEY_SAID__NONE", "FRAME_CROSS__TO_FACE__ARBITRARY_DISTINCT__THEY_SAID__NONE", "FRAME_CROSS__TO_SHOULDER__ARBITRARY_DISTINCT__THEY_SAID__NONE"]
FRAME_CROSS	ARBITRARY_DISTINCT	THE_PHRASE	12	0	0.0	0.143299	-0.084374	0.162732	-0.06755	0.225591	-0.000102	-3.014336	-3.233247	5	["FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_DAY__ARBITRARY_DISTINCT__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_MILE__ARBITRARY_DISTINCT__THE_PHRASE__NONE", "FRAME_CROSS__BY_ONE__ARBITRARY_DISTINCT__THE_PHRASE__NONE", "FRAME_CROSS__BY_ZONE__ARBITRARY_DISTINCT__THE_PHRASE__NONE", "FRAME_CROSS__BY_STEP__ARBITRARY_DISTINCT__THE_PHRASE__NONE", "FRAME_CROSS__AND_ROUND__ARBITRARY_DISTINCT__THE_PHRASE__NONE", "FRAME_CROSS__AND_AGAIN__ARBITRARY_DISTINCT__THE_PHRASE__NONE", "FRAME_CROSS__AND_TIME__ARBITRARY_DISTINCT__THE_PHRASE__NONE", "FRAME_CROSS__TO_HAND__ARBITRARY_DISTINCT__THE_PHRASE__NONE", "FRAME_CROSS__TO_FACE__ARBITRARY_DISTINCT__THE_PHRASE__NONE", "FRAME_CROSS__TO_SHOULDER__ARBITRARY_DISTINCT__THE_PHRASE__NONE"]
FRAME_CROSS	ARBITRARY_DISTINCT	V9_SPACE	12	0	0.0	0.144982	-0.108521	0.176403	-0.085043	0.230608	-0.000102	-3.209927	-3.369819	5	["FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__V9_SPACE__NONE", "FRAME_CROSS__AFTER_DAY__ARBITRARY_DISTINCT__V9_SPACE__NONE", "FRAME_CROSS__AFTER_MILE__ARBITRARY_DISTINCT__V9_SPACE__NONE", "FRAME_CROSS__BY_ONE__ARBITRARY_DISTINCT__V9_SPACE__NONE", "FRAME_CROSS__BY_ZONE__ARBITRARY_DISTINCT__V9_SPACE__NONE", "FRAME_CROSS__BY_STEP__ARBITRARY_DISTINCT__V9_SPACE__NONE", "FRAME_CROSS__AND_ROUND__ARBITRARY_DISTINCT__V9_SPACE__NONE", "FRAME_CROSS__AND_AGAIN__ARBITRARY_DISTINCT__V9_SPACE__NONE", "FRAME_CROSS__AND_TIME__ARBITRARY_DISTINCT__V9_SPACE__NONE", "FRAME_CROSS__TO_HAND__ARBITRARY_DISTINCT__V9_SPACE__NONE", "FRAME_CROSS__TO_FACE__ARBITRARY_DISTINCT__V9_SPACE__NONE", "FRAME_CROSS__TO_SHOULDER__ARBITRARY_DISTINCT__V9_SPACE__NONE"]
FRAME_CROSS	ARBITRARY_KNOWN	BARE	12	0	0.0	-0.009091	-0.089707	0.035817	-0.055386	0.070755	-0.000102	-2.837634	-2.867325	4	["FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__BARE__NONE", "FRAME_CROSS__AFTER_DAY__ARBITRARY_KNOWN__BARE__NONE", "FRAME_CROSS__AFTER_MILE__ARBITRARY_KNOWN__BARE__NONE", "FRAME_CROSS__BY_ONE__ARBITRARY_KNOWN__BARE__NONE", "FRAME_CROSS__BY_ZONE__ARBITRARY_KNOWN__BARE__NONE", "FRAME_CROSS__BY_STEP__ARBITRARY_KNOWN__BARE__NONE", "FRAME_CROSS__AND_ROUND__ARBITRARY_KNOWN__BARE__NONE", "FRAME_CROSS__AND_AGAIN__ARBITRARY_KNOWN__BARE__NONE", "FRAME_CROSS__AND_TIME__ARBITRARY_KNOWN__BARE__NONE", "FRAME_CROSS__TO_HAND__ARBITRARY_KNOWN__BARE__NONE", "FRAME_CROSS__TO_FACE__ARBITRARY_KNOWN__BARE__NONE", "FRAME_CROSS__TO_SHOULDER__ARBITRARY_KNOWN__BARE__NONE"]
FRAME_CROSS	ARBITRARY_KNOWN	THEY_SAID	12	0	0.0	-0.03868	-0.126267	-0.024625	-0.112851	0.059485	-0.000102	-2.526825	-2.445698	4	["FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__THEY_SAID__NONE", "FRAME_CROSS__AFTER_DAY__ARBITRARY_KNOWN__THEY_SAID__NONE", "FRAME_CROSS__AFTER_MILE__ARBITRARY_KNOWN__THEY_SAID__NONE", "FRAME_CROSS__BY_ONE__ARBITRARY_KNOWN__THEY_SAID__NONE", "FRAME_CROSS__BY_ZONE__ARBITRARY_KNOWN__THEY_SAID__NONE", "FRAME_CROSS__BY_STEP__ARBITRARY_KNOWN__THEY_SAID__NONE", "FRAME_CROSS__AND_ROUND__ARBITRARY_KNOWN__THEY_SAID__NONE", "FRAME_CROSS__AND_AGAIN__ARBITRARY_KNOWN__THEY_SAID__NONE", "FRAME_CROSS__AND_TIME__ARBITRARY_KNOWN__THEY_SAID__NONE", "FRAME_CROSS__TO_HAND__ARBITRARY_KNOWN__THEY_SAID__NONE", "FRAME_CROSS__TO_FACE__ARBITRARY_KNOWN__THEY_SAID__NONE", "FRAME_CROSS__TO_SHOULDER__ARBITRARY_KNOWN__THEY_SAID__NONE"]
FRAME_CROSS	ARBITRARY_KNOWN	THE_PHRASE	12	0	0.0	-0.04643	-0.128492	-0.026997	-0.104199	0.0519	-0.000102	-3.188027	-3.23325	4	["FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_DAY__ARBITRARY_KNOWN__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_MILE__ARBITRARY_KNOWN__THE_PHRASE__NONE", "FRAME_CROSS__BY_ONE__ARBITRARY_KNOWN__THE_PHRASE__NONE", "FRAME_CROSS__BY_ZONE__ARBITRARY_KNOWN__THE_PHRASE__NONE", "FRAME_CROSS__BY_STEP__ARBITRARY_KNOWN__THE_PHRASE__NONE", "FRAME_CROSS__AND_ROUND__ARBITRARY_KNOWN__THE_PHRASE__NONE", "FRAME_CROSS__AND_AGAIN__ARBITRARY_KNOWN__THE_PHRASE__NONE", "FRAME_CROSS__AND_TIME__ARBITRARY_KNOWN__THE_PHRASE__NONE", "FRAME_CROSS__TO_HAND__ARBITRARY_KNOWN__THE_PHRASE__NONE", "FRAME_CROSS__TO_FACE__ARBITRARY_KNOWN__THE_PHRASE__NONE", "FRAME_CROSS__TO_SHOULDER__ARBITRARY_KNOWN__THE_PHRASE__NONE"]
FRAME_CROSS	ARBITRARY_KNOWN	V9_SPACE	12	0	0.0	-0.033027	-0.110896	-0.001606	-0.089645	0.05908	-0.000102	-3.381454	-3.403753	4	["FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__V9_SPACE__NONE", "FRAME_CROSS__AFTER_DAY__ARBITRARY_KNOWN__V9_SPACE__NONE", "FRAME_CROSS__AFTER_MILE__ARBITRARY_KNOWN__V9_SPACE__NONE", "FRAME_CROSS__BY_ONE__ARBITRARY_KNOWN__V9_SPACE__NONE", "FRAME_CROSS__BY_ZONE__ARBITRARY_KNOWN__V9_SPACE__NONE", "FRAME_CROSS__BY_STEP__ARBITRARY_KNOWN__V9_SPACE__NONE", "FRAME_CROSS__AND_ROUND__ARBITRARY_KNOWN__V9_SPACE__NONE", "FRAME_CROSS__AND_AGAIN__ARBITRARY_KNOWN__V9_SPACE__NONE", "FRAME_CROSS__AND_TIME__ARBITRARY_KNOWN__V9_SPACE__NONE", "FRAME_CROSS__TO_HAND__ARBITRARY_KNOWN__V9_SPACE__NONE", "FRAME_CROSS__TO_FACE__ARBITRARY_KNOWN__V9_SPACE__NONE", "FRAME_CROSS__TO_SHOULDER__ARBITRARY_KNOWN__V9_SPACE__NONE"]
