# generated_utc	2026-08-14T18:12:44+00:00
# script	probe_v9.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	2721
route_id	target_neuron	source_index	method	found	string	source_start	source_end	source_span_n_tok	realised_n_tok	dest	target_wins	target_peak	target_peakpos	target_peak_token	target_peak_drift	best_other	best_other_peak	signed_target_margin	reported_delta	runner_up	roundtrip_stable	realised_token_ids	is_token_min	is_margin_max	is_pareto
J5-541-001	541	1	ANCHORED_LADDER	1	Right and left	0	3	3	3	541	1	3.90359	3	 left	0.0	2659	3.359437	0.544154	0.544154	2659	1	[11028, 290, 1364]	1	1	1
J5-541-001	541	1	ANCHORED_LADDER	1	 and left	1	3	2	2	1790	0	-0.000102	0	<BOS>	-3.903692	1790	2.944626	-2.944728	0.2844	1888	1	[290, 1364]	0	0	0
J5-541-001	541	1	ANCHORED_LADDER	1	 left	2	3	1	1	1888	0	-0.000102	0	<BOS>	-3.903692	1888	3.12407	-3.124172	0.7632	2256	1	[1364]	0	0	0
J5-541-002	541	2	ANCHORED_LADDER	1	What a pity they didn’t stop up the chinks and the crannies though, and thrust in a little lint here and there	0	30	30	30	541	1	4.04376	30	 there	-2e-06	8	3.709531	0.334229	0.334229	8	1	[2061, 257, 26246, 484, 1422, 447, 247, 83, 2245, 510, 262, 442, 2973, 290, 262, 1067, 1236, 444, 996, 11, 290, 14613, 287, 257, 1310, 300, 600, 994, 290, 612]	0	0	0
J5-541-002	541	2	ANCHORED_LADDER	1	 a pity they didn’t stop up the chinks and the crannies though, and thrust in a little lint here and there	1	30	29	29	541	1	3.857916	29	 there	-0.185846	8	3.488427	0.369489	0.369489	8	1	[257, 26246, 484, 1422, 447, 247, 83, 2245, 510, 262, 442, 2973, 290, 262, 1067, 1236, 444, 996, 11, 290, 14613, 287, 257, 1310, 300, 600, 994, 290, 612]	0	0	0
J5-541-002	541	2	ANCHORED_LADDER	1	 pity they didn’t stop up the chinks and the crannies though, and thrust in a little lint here and there	2	30	28	28	541	1	3.897905	28	 there	-0.145857	8	3.474346	0.423558	0.423558	8	1	[26246, 484, 1422, 447, 247, 83, 2245, 510, 262, 442, 2973, 290, 262, 1067, 1236, 444, 996, 11, 290, 14613, 287, 257, 1310, 300, 600, 994, 290, 612]	0	0	0
J5-541-002	541	2	ANCHORED_LADDER	1	 they didn’t stop up the chinks and the crannies though, and thrust in a little lint here and there	3	30	27	27	541	1	3.95018	27	 there	-0.093582	8	3.598757	0.351423	0.351423	8	1	[484, 1422, 447, 247, 83, 2245, 510, 262, 442, 2973, 290, 262, 1067, 1236, 444, 996, 11, 290, 14613, 287, 257, 1310, 300, 600, 994, 290, 612]	0	0	0
J5-541-002	541	2	ANCHORED_LADDER	1	 didn’t stop up the chinks and the crannies though, and thrust in a little lint here and there	4	30	26	26	541	1	3.982417	26	 there	-0.061345	8	3.480798	0.501619	0.501619	8	1	[1422, 447, 247, 83, 2245, 510, 262, 442, 2973, 290, 262, 1067, 1236, 444, 996, 11, 290, 14613, 287, 257, 1310, 300, 600, 994, 290, 612]	0	0	0
J5-541-002	541	2	ANCHORED_LADDER	1	’t stop up the chinks and the crannies though, and thrust in a little lint here and there	5	30	25	25	541	1	4.001832	25	 there	-0.04193	2874	3.142621	0.85921	0.85921	2874	1	[447, 247, 83, 2245, 510, 262, 442, 2973, 290, 262, 1067, 1236, 444, 996, 11, 290, 14613, 287, 257, 1310, 300, 600, 994, 290, 612]	0	0	0
J5-541-002	541	2	ANCHORED_LADDER	1	�t stop up the chinks and the crannies though, and thrust in a little lint here and there	6	30	24	24	541	1	3.900334	24	 there	-0.143428	693	3.559106	0.341228	0.341228	693	1	[4210, 83, 2245, 510, 262, 442, 2973, 290, 262, 1067, 1236, 444, 996, 11, 290, 14613, 287, 257, 1310, 300, 600, 994, 290, 612]	0	0	0
