# generated_utc	2026-08-15T00:50:25+00:00
# script	probe_v13.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	30
branch	treatment	declared_role	n	outcome_logprob_change_mean	outcome_logprob_change_median	first_outcome_prob_change_mean	kl_mean	kl_median	first_logit_l2_mean	hidden_final_delta_l2_mean	greedy_changed_n	positive_outcome_logprob_change_n	member_case_ids
NATURAL_ABLATION	CLEAN	baseline	18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	["N_IT_WAS_COLD", "N_IT_IS_COLD", "N_IT_FELT_COLD", "N_AIR_WAS_COLD", "N_ROOM_WAS_COLD", "N_SKIN_FELT_COLD", "N_VOICE_WAS_COLD", "N_DECISION_WAS_COLD", "N_CAUGHT_A_COLD", "N_COLD_WAR", "N_COLD_START", "N_IT_WAS_FRIGID", "N_IT_WAS_FREEZING", "N_IT_WAS_ICY", "N_IT_WAS_CHILLY", "N_IT_WAS_COOL", "N_IT_WAS_WARM", "N_IT_WAS_HOT"]
NATURAL_ABLATION	CLEAN_REPEAT	deterministic duplicate	18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	["N_IT_WAS_COLD", "N_IT_IS_COLD", "N_IT_FELT_COLD", "N_AIR_WAS_COLD", "N_ROOM_WAS_COLD", "N_SKIN_FELT_COLD", "N_VOICE_WAS_COLD", "N_DECISION_WAS_COLD", "N_CAUGHT_A_COLD", "N_COLD_WAR", "N_COLD_START", "N_IT_WAS_FRIGID", "N_IT_WAS_FREEZING", "N_IT_WAS_ICY", "N_IT_WAS_CHILLY", "N_IT_WAS_COOL", "N_IT_WAS_WARM", "N_IT_WAS_HOT"]
NATURAL_ABLATION	PREVIOUS_ZERO_38	position control	18	-0.017895	-0.006999	-0.000453917	0.000660236	0.000395769	133.918306	3.382063	0	5	["N_IT_WAS_COLD", "N_IT_IS_COLD", "N_IT_FELT_COLD", "N_AIR_WAS_COLD", "N_ROOM_WAS_COLD", "N_SKIN_FELT_COLD", "N_VOICE_WAS_COLD", "N_DECISION_WAS_COLD", "N_CAUGHT_A_COLD", "N_COLD_WAR", "N_COLD_START", "N_IT_WAS_FRIGID", "N_IT_WAS_FREEZING", "N_IT_WAS_ICY", "N_IT_WAS_CHILLY", "N_IT_WAS_COOL", "N_IT_WAS_WARM", "N_IT_WAS_HOT"]
NATURAL_ABLATION	SCALE_025_38	dose reduction	18	-0.06657	-0.026313	-0.001877746	0.006588468	0.004740908	123.898398	1.836909	1	7	["N_IT_WAS_COLD", "N_IT_IS_COLD", "N_IT_FELT_COLD", "N_AIR_WAS_COLD", "N_ROOM_WAS_COLD", "N_SKIN_FELT_COLD", "N_VOICE_WAS_COLD", "N_DECISION_WAS_COLD", "N_CAUGHT_A_COLD", "N_COLD_WAR", "N_COLD_START", "N_IT_WAS_FRIGID", "N_IT_WAS_FREEZING", "N_IT_WAS_ICY", "N_IT_WAS_CHILLY", "N_IT_WAS_COOL", "N_IT_WAS_WARM", "N_IT_WAS_HOT"]
NATURAL_ABLATION	SCALE_050_38	dose reduction	18	-0.040995	-0.014961	-0.001126433	0.002789618	0.002028774	80.443105	1.208382	1	7	["N_IT_WAS_COLD", "N_IT_IS_COLD", "N_IT_FELT_COLD", "N_AIR_WAS_COLD", "N_ROOM_WAS_COLD", "N_SKIN_FELT_COLD", "N_VOICE_WAS_COLD", "N_DECISION_WAS_COLD", "N_CAUGHT_A_COLD", "N_COLD_WAR", "N_COLD_START", "N_IT_WAS_FRIGID", "N_IT_WAS_FREEZING", "N_IT_WAS_ICY", "N_IT_WAS_CHILLY", "N_IT_WAS_COOL", "N_IT_WAS_WARM", "N_IT_WAS_HOT"]
NATURAL_ABLATION	SCALE_075_38	dose reduction	18	-0.018872	-0.006361	-0.000495002	0.000662734	0.000486808	39.218111	0.595521	0	8	["N_IT_WAS_COLD", "N_IT_IS_COLD", "N_IT_FELT_COLD", "N_AIR_WAS_COLD", "N_ROOM_WAS_COLD", "N_SKIN_FELT_COLD", "N_VOICE_WAS_COLD", "N_DECISION_WAS_COLD", "N_CAUGHT_A_COLD", "N_COLD_WAR", "N_COLD_START", "N_IT_WAS_FRIGID", "N_IT_WAS_FREEZING", "N_IT_WAS_ICY", "N_IT_WAS_CHILLY", "N_IT_WAS_COOL", "N_IT_WAS_WARM", "N_IT_WAS_HOT"]
NATURAL_ABLATION	SHAM_38	hook identity	18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	["N_IT_WAS_COLD", "N_IT_IS_COLD", "N_IT_FELT_COLD", "N_AIR_WAS_COLD", "N_ROOM_WAS_COLD", "N_SKIN_FELT_COLD", "N_VOICE_WAS_COLD", "N_DECISION_WAS_COLD", "N_CAUGHT_A_COLD", "N_COLD_WAR", "N_COLD_START", "N_IT_WAS_FRIGID", "N_IT_WAS_FREEZING", "N_IT_WAS_ICY", "N_IT_WAS_CHILLY", "N_IT_WAS_COOL", "N_IT_WAS_WARM", "N_IT_WAS_HOT"]
NATURAL_ABLATION	ZERO_1103	declared companion ablation	18	-0.000137	-0.00183	-0.00019632	1.5803e-05	1.0409e-05	7.735294	0.100985	0	8	["N_IT_WAS_COLD", "N_IT_IS_COLD", "N_IT_FELT_COLD", "N_AIR_WAS_COLD", "N_ROOM_WAS_COLD", "N_SKIN_FELT_COLD", "N_VOICE_WAS_COLD", "N_DECISION_WAS_COLD", "N_CAUGHT_A_COLD", "N_COLD_WAR", "N_COLD_START", "N_IT_WAS_FRIGID", "N_IT_WAS_FREEZING", "N_IT_WAS_ICY", "N_IT_WAS_CHILLY", "N_IT_WAS_COOL", "N_IT_WAS_WARM", "N_IT_WAS_HOT"]
NATURAL_ABLATION	ZERO_1508	old cold-constellation control	18	0.002714	0.00116	0.000895397	0.000121752	8.308e-05	23.11142	0.342164	0	11	["N_IT_WAS_COLD", "N_IT_IS_COLD", "N_IT_FELT_COLD", "N_AIR_WAS_COLD", "N_ROOM_WAS_COLD", "N_SKIN_FELT_COLD", "N_VOICE_WAS_COLD", "N_DECISION_WAS_COLD", "N_CAUGHT_A_COLD", "N_COLD_WAR", "N_COLD_START", "N_IT_WAS_FRIGID", "N_IT_WAS_FREEZING", "N_IT_WAS_ICY", "N_IT_WAS_CHILLY", "N_IT_WAS_COOL", "N_IT_WAS_WARM", "N_IT_WAS_HOT"]
NATURAL_ABLATION	ZERO_2094	declared companion ablation	18	-0.011402	-0.000768	-0.001794928	0.00219796	0.00158668	67.878957	1.619528	1	8	["N_IT_WAS_COLD", "N_IT_IS_COLD", "N_IT_FELT_COLD", "N_AIR_WAS_COLD", "N_ROOM_WAS_COLD", "N_SKIN_FELT_COLD", "N_VOICE_WAS_COLD", "N_DECISION_WAS_COLD", "N_CAUGHT_A_COLD", "N_COLD_WAR", "N_COLD_START", "N_IT_WAS_FRIGID", "N_IT_WAS_FREEZING", "N_IT_WAS_ICY", "N_IT_WAS_CHILLY", "N_IT_WAS_COOL", "N_IT_WAS_WARM", "N_IT_WAS_HOT"]
