# generated_utc	2026-08-14T20:27:46+00:00
# script	probe_v12.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	33
branch	treatment	declared_role	n	outcome_logprob_change_mean	outcome_logprob_change_median	first_outcome_prob_change_mean	kl_mean	kl_median	first_logit_l2_mean	hidden_final_delta_l2_mean	greedy_changed_n	positive_outcome_logprob_change_n	member_case_ids
COMPLETION_INJECTION	CLEAN	baseline	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	["I_GRAVEL_AFTER_GRAVEL", "I_GRAVEL_AFTER_WINDOW", "I_GRAVEL_GRAVEL", "I_HAMMER_AND_HAMMER", "I_HAMMER_AND_VIOLIN", "I_HAMMER_HAMMER", "I_WAVE_AFTER_TIDE", "I_GRAVEL_AFTER_ANOTHER", "I_ONE_ANOTHER"]
COMPLETION_INJECTION	CLEAN_REPEAT	deterministic duplicate	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	["I_GRAVEL_AFTER_GRAVEL", "I_GRAVEL_AFTER_WINDOW", "I_GRAVEL_GRAVEL", "I_HAMMER_AND_HAMMER", "I_HAMMER_AND_VIOLIN", "I_HAMMER_HAMMER", "I_WAVE_AFTER_TIDE", "I_GRAVEL_AFTER_ANOTHER", "I_ONE_ANOTHER"]
COMPLETION_INJECTION	DONOR_541	matched donor patch	9	0.019499	-0.021183	-7.15e-06	0.021639591	0.017838761	222.643517	4.902577	2	2	["I_GRAVEL_AFTER_GRAVEL", "I_GRAVEL_AFTER_WINDOW", "I_GRAVEL_GRAVEL", "I_HAMMER_AND_HAMMER", "I_HAMMER_AND_VIOLIN", "I_HAMMER_HAMMER", "I_WAVE_AFTER_TIDE", "I_GRAVEL_AFTER_ANOTHER", "I_ONE_ANOTHER"]
COMPLETION_INJECTION	PREVIOUS_DONOR_541	position control	9	-0.078917	-0.050631	-1.6929e-05	0.009523099	0.007066594	230.625985	10.032649	1	3	["I_GRAVEL_AFTER_GRAVEL", "I_GRAVEL_AFTER_WINDOW", "I_GRAVEL_GRAVEL", "I_HAMMER_AND_HAMMER", "I_HAMMER_AND_VIOLIN", "I_HAMMER_HAMMER", "I_WAVE_AFTER_TIDE", "I_GRAVEL_AFTER_ANOTHER", "I_ONE_ANOTHER"]
COMPLETION_INJECTION	SET_1_541	realistic fixed dose	9	0.022589	0.006565	1.6232e-05	0.002543056	0.00106299	52.610241	1.332947	1	5	["I_GRAVEL_AFTER_GRAVEL", "I_GRAVEL_AFTER_WINDOW", "I_GRAVEL_GRAVEL", "I_HAMMER_AND_HAMMER", "I_HAMMER_AND_VIOLIN", "I_HAMMER_HAMMER", "I_WAVE_AFTER_TIDE", "I_GRAVEL_AFTER_ANOTHER", "I_ONE_ANOTHER"]
COMPLETION_INJECTION	SET_2_541	realistic fixed dose	9	0.01297	-0.028847	5.835e-06	0.006625449	0.005963158	102.855965	2.450495	2	3	["I_GRAVEL_AFTER_GRAVEL", "I_GRAVEL_AFTER_WINDOW", "I_GRAVEL_GRAVEL", "I_HAMMER_AND_HAMMER", "I_HAMMER_AND_VIOLIN", "I_HAMMER_HAMMER", "I_WAVE_AFTER_TIDE", "I_GRAVEL_AFTER_ANOTHER", "I_ONE_ANOTHER"]
COMPLETION_INJECTION	SET_3_541	realistic fixed dose	9	0.006728	-0.023718	-4.493e-06	0.01545804	0.015268463	168.200083	3.803178	2	3	["I_GRAVEL_AFTER_GRAVEL", "I_GRAVEL_AFTER_WINDOW", "I_GRAVEL_GRAVEL", "I_HAMMER_AND_HAMMER", "I_HAMMER_AND_VIOLIN", "I_HAMMER_HAMMER", "I_WAVE_AFTER_TIDE", "I_GRAVEL_AFTER_ANOTHER", "I_ONE_ANOTHER"]
COMPLETION_INJECTION	SET_4_541	realistic fixed dose	9	0.003556	-0.065989	-1.4236e-05	0.028108734	0.028065491	242.269849	5.426439	2	2	["I_GRAVEL_AFTER_GRAVEL", "I_GRAVEL_AFTER_WINDOW", "I_GRAVEL_GRAVEL", "I_HAMMER_AND_HAMMER", "I_HAMMER_AND_VIOLIN", "I_HAMMER_HAMMER", "I_WAVE_AFTER_TIDE", "I_GRAVEL_AFTER_ANOTHER", "I_ONE_ANOTHER"]
COMPLETION_INJECTION	SHAM	hook identity	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	["I_GRAVEL_AFTER_GRAVEL", "I_GRAVEL_AFTER_WINDOW", "I_GRAVEL_GRAVEL", "I_HAMMER_AND_HAMMER", "I_HAMMER_AND_VIOLIN", "I_HAMMER_HAMMER", "I_WAVE_AFTER_TIDE", "I_GRAVEL_AFTER_ANOTHER", "I_ONE_ANOTHER"]
COMPLETION_INJECTION	SHUFFLED_DONOR_541	donor identity control	9	0.012902	-0.048594	-1.0414e-05	0.023027902	0.019254463	227.767037	5.062927	2	2	["I_GRAVEL_AFTER_GRAVEL", "I_GRAVEL_AFTER_WINDOW", "I_GRAVEL_GRAVEL", "I_HAMMER_AND_HAMMER", "I_HAMMER_AND_VIOLIN", "I_HAMMER_HAMMER", "I_WAVE_AFTER_TIDE", "I_GRAVEL_AFTER_ANOTHER", "I_ONE_ANOTHER"]
NATURAL_COMPLETION	CLEAN	baseline	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	["N_ONE_AFTER_ANOTHER", "N_ONE_BY_ONE", "N_HAND_TO_HAND", "N_UP_AND_DOWN", "N_AGAIN_AND_AGAIN", "N_WAVE_AFTER_WAVE", "N_SHOULDER_TO_SHOULDER", "N_ROUND_BARE", "N_ROUND_CONTEXT", "N_GO_ROUND_CONTEXT"]
NATURAL_COMPLETION	CLEAN_REPEAT	deterministic duplicate	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	["N_ONE_AFTER_ANOTHER", "N_ONE_BY_ONE", "N_HAND_TO_HAND", "N_UP_AND_DOWN", "N_AGAIN_AND_AGAIN", "N_WAVE_AFTER_WAVE", "N_SHOULDER_TO_SHOULDER", "N_ROUND_BARE", "N_ROUND_CONTEXT", "N_GO_ROUND_CONTEXT"]
NATURAL_COMPLETION	MEAN_REPLACE_541	matched control-state replacement	10	-0.241046	-0.183607	-0.014960032	0.025574704	0.012107654	343.896814	4.697524	1	2	["N_ONE_AFTER_ANOTHER", "N_ONE_BY_ONE", "N_HAND_TO_HAND", "N_UP_AND_DOWN", "N_AGAIN_AND_AGAIN", "N_WAVE_AFTER_WAVE", "N_SHOULDER_TO_SHOULDER", "N_ROUND_BARE", "N_ROUND_CONTEXT", "N_GO_ROUND_CONTEXT"]
NATURAL_COMPLETION	PREVIOUS_ZERO_541	position control	10	0.000834	0.001344	0.00014692	2.354e-06	1.268e-06	5.509689	0.164817	0	8	["N_ONE_AFTER_ANOTHER", "N_ONE_BY_ONE", "N_HAND_TO_HAND", "N_UP_AND_DOWN", "N_AGAIN_AND_AGAIN", "N_WAVE_AFTER_WAVE", "N_SHOULDER_TO_SHOULDER", "N_ROUND_BARE", "N_ROUND_CONTEXT", "N_GO_ROUND_CONTEXT"]
NATURAL_COMPLETION	SCALE_025_541	dose reduction	10	-0.213009	-0.166228	-0.013761295	0.021705181	0.011195004	315.693561	4.363669	1	2	["N_ONE_AFTER_ANOTHER", "N_ONE_BY_ONE", "N_HAND_TO_HAND", "N_UP_AND_DOWN", "N_AGAIN_AND_AGAIN", "N_WAVE_AFTER_WAVE", "N_SHOULDER_TO_SHOULDER", "N_ROUND_BARE", "N_ROUND_CONTEXT", "N_GO_ROUND_CONTEXT"]
NATURAL_COMPLETION	SCALE_050_541	dose reduction	10	-0.130588	-0.100148	-0.009277523	0.009627288	0.004863013	201.879916	2.825312	1	2	["N_ONE_AFTER_ANOTHER", "N_ONE_BY_ONE", "N_HAND_TO_HAND", "N_UP_AND_DOWN", "N_AGAIN_AND_AGAIN", "N_WAVE_AFTER_WAVE", "N_SHOULDER_TO_SHOULDER", "N_ROUND_BARE", "N_ROUND_CONTEXT", "N_GO_ROUND_CONTEXT"]
