# generated_utc	2026-08-14T18:47:54+00:00
# script	probe_v10.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	2596
case_id	branch	seed_id	variant	carrier_id	string	pos	token	token_id	is_second_member_token	is_completion_token	raw_541	running_541	running_leader	running_margin	raw_top5
CORE_FACTORIAL__UP_DOWN__CC__BARE__NONE	CORE_FACTORIAL	UP_DOWN	CC	BARE	up and down	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
CORE_FACTORIAL__UP_DOWN__CC__BARE__NONE	CORE_FACTORIAL	UP_DOWN	CC	BARE	up and down	1	up	929	0	0	-0.087442	-0.000102	1790	0.085894	[[1790, 2.853053], [1888, 2.767158], [654, 1.632336], [1998, 1.537572], [2588, 1.340617]]
CORE_FACTORIAL__UP_DOWN__CC__BARE__NONE	CORE_FACTORIAL	UP_DOWN	CC	BARE	up and down	2	 and	290	0	0	-0.056431	-0.000102	1790	0.085894	[[62, 2.662341], [2229, 2.113837], [2664, 1.807616], [2973, 1.751245], [1011, 1.627674]]
CORE_FACTORIAL__UP_DOWN__CC__BARE__NONE	CORE_FACTORIAL	UP_DOWN	CC	BARE	up and down	3	 down	866	1	1	4.121797	4.121797	541	1.122365	[[541, 4.121797], [2659, 2.999432], [2898, 2.155427], [2753, 2.009839], [1691, 1.707379]]
CORE_FACTORIAL__UP_DOWN__CA__BARE__NONE	CORE_FACTORIAL	UP_DOWN	CA	BARE	up and window	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
CORE_FACTORIAL__UP_DOWN__CA__BARE__NONE	CORE_FACTORIAL	UP_DOWN	CA	BARE	up and window	1	up	929	0	0	-0.087442	-0.000102	1790	0.085894	[[1790, 2.853053], [1888, 2.767158], [654, 1.632336], [1998, 1.537572], [2588, 1.340617]]
CORE_FACTORIAL__UP_DOWN__CA__BARE__NONE	CORE_FACTORIAL	UP_DOWN	CA	BARE	up and window	2	 and	290	0	0	-0.056431	-0.000102	1790	0.085894	[[62, 2.662341], [2229, 2.113837], [2664, 1.807616], [2973, 1.751245], [1011, 1.627674]]
CORE_FACTORIAL__UP_DOWN__CA__BARE__NONE	CORE_FACTORIAL	UP_DOWN	CA	BARE	up and window	3	 window	4324	1	1	1.103562	1.103562	1790	0.085894	[[1888, 2.73939], [1790, 2.272537], [638, 1.470122], [2659, 1.463895], [1893, 1.357327]]
CORE_FACTORIAL__UP_DOWN__AC__BARE__NONE	CORE_FACTORIAL	UP_DOWN	AC	BARE	gravel and down	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
CORE_FACTORIAL__UP_DOWN__AC__BARE__NONE	CORE_FACTORIAL	UP_DOWN	AC	BARE	gravel and down	1	g	70	0	0	-0.01768	-0.000102	1888	0.455122	[[1888, 2.942774], [1790, 2.487652], [945, 2.291717], [654, 1.600414], [1169, 1.453991]]
CORE_FACTORIAL__UP_DOWN__AC__BARE__NONE	CORE_FACTORIAL	UP_DOWN	AC	BARE	gravel and down	2	ravel	25843	0	0	-0.06898	-0.000102	1888	0.455122	[[1790, 1.714288], [1888, 1.592531], [121, 1.399298], [2330, 1.382534], [790, 1.264116]]
CORE_FACTORIAL__UP_DOWN__AC__BARE__NONE	CORE_FACTORIAL	UP_DOWN	AC	BARE	gravel and down	3	 and	290	0	0	-0.011602	-0.000102	1888	0.455122	[[1790, 1.587857], [1203, 1.576397], [1888, 1.50683], [1543, 1.067445], [573, 1.006526]]
CORE_FACTORIAL__UP_DOWN__AC__BARE__NONE	CORE_FACTORIAL	UP_DOWN	AC	BARE	gravel and down	4	 down	866	1	1	0.236956	0.236956	1888	0.455122	[[638, 1.948309], [1888, 1.599368], [1790, 1.532182], [2704, 1.331754], [2608, 1.182715]]
CORE_FACTORIAL__UP_DOWN__AA__BARE__NONE	CORE_FACTORIAL	UP_DOWN	AA	BARE	gravel and window	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
CORE_FACTORIAL__UP_DOWN__AA__BARE__NONE	CORE_FACTORIAL	UP_DOWN	AA	BARE	gravel and window	1	g	70	0	0	-0.01768	-0.000102	1888	0.455122	[[1888, 2.942774], [1790, 2.487652], [945, 2.291717], [654, 1.600414], [1169, 1.453991]]
CORE_FACTORIAL__UP_DOWN__AA__BARE__NONE	CORE_FACTORIAL	UP_DOWN	AA	BARE	gravel and window	2	ravel	25843	0	0	-0.06898	-0.000102	1888	0.455122	[[1790, 1.714288], [1888, 1.592531], [121, 1.399298], [2330, 1.382534], [790, 1.264116]]
CORE_FACTORIAL__UP_DOWN__AA__BARE__NONE	CORE_FACTORIAL	UP_DOWN	AA	BARE	gravel and window	3	 and	290	0	0	-0.011602	-0.000102	1888	0.455122	[[1790, 1.587857], [1203, 1.576397], [1888, 1.50683], [1543, 1.067445], [573, 1.006526]]
CORE_FACTORIAL__UP_DOWN__AA__BARE__NONE	CORE_FACTORIAL	UP_DOWN	AA	BARE	gravel and window	4	 window	4324	1	1	0.88513	0.88513	1888	0.455122	[[1888, 2.884318], [1790, 2.185008], [2659, 1.74749], [638, 1.565296], [1893, 1.471203]]
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	FULL_FRAME	BARE	up and down	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	FULL_FRAME	BARE	up and down	1	up	929	0	0	-0.087442	-0.000102	1790	0.085894	[[1790, 2.853053], [1888, 2.767158], [654, 1.632336], [1998, 1.537572], [2588, 1.340617]]
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	FULL_FRAME	BARE	up and down	2	 and	290	0	0	-0.056431	-0.000102	1790	0.085894	[[62, 2.662341], [2229, 2.113837], [2664, 1.807616], [2973, 1.751245], [1011, 1.627674]]
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	FULL_FRAME	BARE	up and down	3	 down	866	1	1	4.121797	4.121797	541	1.122365	[[541, 4.121797], [2659, 2.999432], [2898, 2.155427], [2753, 2.009839], [1691, 1.707379]]
