# generated_utc	2026-08-14T18:12:44+00:00
# script	probe_v9.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	3160
target_neuron_left	target_neuron_right	route_id_left	route_id_right	certificate_left	certificate_right	exact_match	unigram_multiset_jaccard	bigram_jaccard	longest_common_contiguous_tokens	left_fraction_in_lcc	right_fraction_in_lcc
541	541	J5-541-001	J5-541-002	Right and left	 here and there	0	0.2	0.0	1	0.333333	0.333333
541	541	J5-541-001	J5-541-003	Right and left	 right and left	0	0.5	0.333333	2	0.666667	0.666667
541	541	J5-541-001	J5-541-004	Right and left	You and I	0	0.2	0.0	1	0.333333	0.333333
541	541	J5-541-001	J5-541-005	Right and left	 now and then	0	0.2	0.0	1	0.333333	0.333333
541	541	J5-541-001	J5-541-006	Right and left	 here and there	0	0.2	0.0	1	0.333333	0.333333
541	541	J5-541-001	J5-541-007	Right and left	 one by one	0	0.0	0.0	0	0.0	0.0
541	541	J5-541-001	J5-541-008	Right and left	, zone by zone	0	0.0	0.0	0	0.0	0.0
541	541	J5-541-001	J5-541-009	Right and left	Wave after wave	0	0.0	0.0	0	0.0	0.0
541	541	J5-541-001	J5-541-010	Right and left	 by and by	0	0.2	0.0	1	0.333333	0.333333
541	541	J5-541-001	J5-541-011	Right and left	 light, we rolled over from each other, this way and that	0	0.066667	0.0	1	0.333333	0.076923
541	541	J5-541-001	J5-541-012	Right and left	 now and then	0	0.2	0.0	1	0.333333	0.333333
541	541	J5-541-001	J5-541-013	Right and left	 right to left	0	0.2	0.0	1	0.333333	0.333333
541	541	J5-541-001	J5-541-014	Right and left	 seldom or never	0	0.0	0.0	0	0.0	0.0
541	541	J5-541-001	J5-541-015	Right and left	 one by one	0	0.0	0.0	0	0.0	0.0
541	541	J5-541-001	J5-541-016	Right and left	, both large and small	0	0.142857	0.0	1	0.333333	0.2
541	541	J5-541-001	J5-541-017	Right and left	 right and left	0	0.5	0.333333	2	0.666667	0.666667
541	541	J5-541-001	J5-541-018	Right and left	 top to bottom	0	0.0	0.0	0	0.0	0.0
541	541	J5-541-001	J5-541-019	Right and left	 old and new	0	0.2	0.0	1	0.333333	0.333333
541	541	J5-541-001	J5-541-020	Right and left	 direct and indirect	0	0.2	0.0	1	0.333333	0.333333
